STATION,NAME,MONTH,DAY,YEAR,PRCP,TAVG,TSUN
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,14,1998,0,20,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,15,1998,0,18.3,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,16,1998,0,18.3,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,17,1998,0,18.3,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,18,1998,0,18.9,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,19,1998,0,22.2,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,20,1998,0,19.4,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,21,1998,0,15.6,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,22,1998,0,13.3,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,23,1998,0,10.6,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,24,1998,0,13.3,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,25,1998,0,15.6,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,26,1998,0,17.2,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,27,1998,0,17.8,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,28,1998,0,18.9,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,29,1998,0,18.9,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,30,1998,0,20,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",10,31,1998,0,20.6,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",11,1,1998,0,18.9,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",11,2,1998,0.3,20.6,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",11,3,1998,1.8,20,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",11,4,1998,0,12.8,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",11,5,1998,0,11.1,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",11,6,1998,0,8.9,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",11,7,1998,0,8.3,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",11,8,1998,0,10,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",11,9,1998,0.3,15.6,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",11,10,1998,0,20,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",11,11,1998,0,16.1,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",11,12,1998,0,13.3,
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",11,13,1998,0,11.1,
